distance	Sample.Label	Effort	Region.Label	Area	multiplier	utm.e	utm.n
9	A1	680232	Tai	40370000	0.1166667	689991	646193
9	A1	680232	Tai	40370000	0.1166667	689991	646193
9	A1	680232	Tai	40370000	0.1166667	689991	646193
9	A1	680232	Tai	40370000	0.1166667	689991	646193
9	A1	680232	Tai	40370000	0.1166667	689991	646193
11	A1	680232	Tai	40370000	0.1166667	689991	646193
11	A1	680232	Tai	40370000	0.1166667	689991	646193
9	A1	680232	Tai	40370000	0.1166667	689991	646193
9	A1	680232	Tai	40370000	0.1166667	689991	646193
4.5	A1	680232	Tai	40370000	0.1166667	689991	646193
4.5	A1	680232	Tai	40370000	0.1166667	689991	646193
5.5	A1	680232	Tai	40370000	0.1166667	689991	646193
5.5	A1	680232	Tai	40370000	0.1166667	689991	646193
5.5	A1	680232	Tai	40370000	0.1166667	689991	646193
5.5	A1	680232	Tai	40370000	0.1166667	689991	646193
5.5	A1	680232	Tai	40370000	0.1166667	689991	646193
6.5	A1	680232	Tai	40370000	0.1166667	689991	646193
6.5	A1	680232	Tai	40370000	0.1166667	689991	646193
6.5	A1	680232	Tai	40370000	0.1166667	689991	646193
6.5	A1	680232	Tai	40370000	0.1166667	689991	646193
6.5	A1	680232	Tai	40370000	0.1166667	689991	646193
6.5	A1	680232	Tai	40370000	0.1166667	689991	646193
6.5	A1	680232	Tai	40370000	0.1166667	689991	646193
6.5	A1	680232	Tai	40370000	0.1166667	689991	646193
7.5	A1	680232	Tai	40370000	0.1166667	689991	646193
7.5	A1	680232	Tai	40370000	0.1166667	689991	646193
7.5	A1	680232	Tai	40370000	0.1166667	689991	646193
7.5	A1	680232	Tai	40370000	0.1166667	689991	646193
7.5	A1	680232	Tai	40370000	0.1166667	689991	646193
7.5	A1	680232	Tai	40370000	0.1166667	689991	646193
7.5	A1	680232	Tai	40370000	0.1166667	689991	646193
6.5	A1	680232	Tai	40370000	0.1166667	689991	646193
6.5	A1	680232	Tai	40370000	0.1166667	689991	646193
