order	folder	vid.no	ek.no	easting	northing	month	day	hour	minute
34	A3(1)	1	10	689007	644158	7	7	6	30
299	C3(3)	31	49	690995	644190	8	5	6	30
428	C6(2)	29	53	690977	641224	8	13	6	30
291	C3(3)	23	40	690995	644190	8	3	6	31
327	C3(3)	59	83	690995	644190	8	14	6	31
429	C6(2)	30	54	690977	641224	8	13	6	31
430	C6(2)	31	55	690977	641224	8	13	6	32
831	E6(2)	70	113	692974	641159	9	18	6	32
91	A3(3)	54	92	689007	644158	9	17	6	33
303	C3(3)	35	54	690995	644190	8	6	6	34
384	C6(1)	16	37	690977	641224	7	18	6	37
465	C6(2)	66	99	690977	641224	8	17	6	37
765	E6(2)	4	11	692974	641159	8	20	6	38
804	E6(2)	43	75	692974	641159	9	8	6	38
76	A3(3)	39	64	689007	644158	9	11	6	39
491	C6(2)	92	132	690977	641224	8	20	6	39
461	C6(2)	62	91	690977	641224	8	16	6	41
708	E5(1)	6	19	692995	642203	7	25	6	41
766	E6(2)	5	12	692974	641159	8	20	6	41
304	C3(3)	36	55	690995	644190	8	6	6	42
474	C6(2)	75	112	690977	641224	8	18	6	42
774	E6(2)	13	21	692974	641159	8	23	6	42
318	C3(3)	50	71	690995	644190	8	11	6	43
321	C3(3)	53	74	690995	644190	8	13	6	43
278	C3(3)	10	23	690995	644190	7	27	6	44
284	C3(3)	16	29	690995	644190	7	31	6	44
335	C3(4)	2	6	690995	644190	8	23	6	44
728	E5(1)	26	107	692995	642203	9	20	6	44
92	A3(3)	55	93	689007	644158	9	17	6	45
306	C3(3)	38	59	690995	644190	8	7	6	45
322	C3(3)	54	75	690995	644190	8	13	6	45
495	C6(2)	96	138	690977	641224	8	22	6	45
709	E5(1)	7	24	692995	642203	7	29	6	45
358	C4(2)	7	64	691005	643201	9	10	6	46
93	A3(3)	56	94	689007	644158	9	17	6	47
189	B2(2)	46	92	690010	645198	9	8	6	47
332	C3(3)	64	90	690995	644190	8	18	6	47
834	E6(2)	73	116	692974	641159	9	19	6	47
829	E6(2)	68	111	692974	641159	9	17	6	48
71	A3(3)	34	58	689007	644158	9	10	6	50
181	B2(2)	38	77	690010	645198	9	5	6	50
475	C6(2)	76	113	690977	641224	8	18	6	50
280	C3(3)	12	25	690995	644190	7	29	6	51
319	C3(3)	51	72	690995	644190	8	11	6	51
104	A3(3)	67	110	689007	644158	9	21	6	52
182	B2(2)	39	78	690010	645198	9	5	6	52
442	C6(2)	43	70	690977	641224	8	14	6	53
51	A3(3)	14	22	689007	644158	8	27	6	54
443	C6(2)	44	71	690977	641224	8	14	6	54
550	C6(2)	151	226	690977	641224	9	8	6	54
523	C6(2)	124	188	690977	641224	8	31	6	55
626	D5	14	31	692006	642200	8	9	6	55
623	D5	11	19	692006	642200	8	3	6	57
273	C3(3)	5	17	690995	644190	7	24	6	58
479	C6(2)	80	119	690977	641224	8	19	6	59
4	A1(2)	3	17	689991	646193	8	14	7	0
339	C3(4)	6	11	690995	644190	9	5	7	0
444	C6(2)	45	72	690977	641224	8	14	7	0
480	C6(2)	81	120	690977	641224	8	19	7	0
794	E6(2)	33	57	692974	641159	9	5	7	0
520	C6(2)	121	180	690977	641224	8	29	7	1
795	E6(2)	34	58	692974	641159	9	5	7	1
